"NoName","address","city","State","zipcode","AUTO_UNIQUE_ID_2019-12-02_dandi_ny2","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"14792","21 E 7th St NYC","New York City","NY","",1,"USCGeocoder",828.07,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","2",40.7286526,-73.9894621,"Relaxed;Soundex"
"14806","1177 6th Ave NYC","New York City","NY","",2,"USCGeocoder",62.4615,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1883.95820948912","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",40.7573672446271,-73.9823826629591,"Relaxed"
"14818","1 Penn Plz NYC","New York City","NY","",3,"USCGeocoder",562.2539,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","2",40.7509,-73.9916,"Relaxed"
"14819","60 E 96th St NYC","New York City","NY","",4,"USCGeocoder",562.5023,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","2",40.786843,-73.9536585,"Relaxed;Soundex"
"14821","1360 3rd Ave NYC","New York City","NY","",5,"USCGeocoder",203.1154,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7732334,-73.9582877,"Relaxed;Soundex"
"14825","E Pearl St NYC","New York City","NY","",6,"USCGeocoder",31.3654,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1213369809.72834","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",40.6639307188879,-73.9382749875207,"Relaxed;Soundex"
"14827","N Pearl St NYC","New York City","NY","",7,"USCGeocoder",31.0615,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1213369809.72834","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",40.6639307188879,-73.9382749875207,"Relaxed;Soundex"
"14838","260 W 35th St NYC","New York City","NY","",8,"USCGeocoder",203.1489,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7525456,-73.9924882,"Relaxed;Soundex"
"14848","50 E 98th St NYC","New York City","NY","",9,"USCGeocoder",640.7757,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","2",40.6651065,-73.9233779,"Relaxed;Soundex"
"14859","330 E 94th St NYC","New York City","NY","",10,"USCGeocoder",218.5379,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7822107,-73.9465613,"Relaxed;Soundex"
"14874","160 E 23rd St NYC","New York City","NY","",11,"USCGeocoder",234.5271,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","93.1952662721894","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.6618709,-73.997511,"Relaxed;Soundex"
"14876","99 Park Ave NYC","New York City","NY","",12,"USCGeocoder",1249.9902,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","4",40.7504,-73.9786,"Relaxed"
"14877","35 W 32nd St NYC","New York City","NY","",13,"USCGeocoder",218.7728,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7479847,-73.9872057,"Relaxed;Soundex"
"14880","1370 Broadway NYC","New York City","NY","",14,"USCGeocoder",125.0742,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1213369809.72834","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",40.6639307188879,-73.9382749875207,"Relaxed;Soundex"
"14884","2080 1st Ave NYC","New York City","NY","",15,"USCGeocoder",234.2802,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7906148,-73.9389409,"Relaxed;Soundex"
"14896","526 9th Ave NYC","New York City","NY","",16,"USCGeocoder",218.9346,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7565962,-73.9937529,"Relaxed;Soundex"
"14898","409 E 74th St NYC","New York City","NY","",17,"USCGeocoder",203.3185,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7688764,-73.954194,"Relaxed;Soundex"
"14902","W Wadsworth Ter NYC","New York City","NY","",18,"USCGeocoder",15.8512,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1213369809.72834","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",40.6639307188879,-73.9382749875207,"Relaxed;Soundex"
"14904","212 WEST 122ND STREET NYC","New York City","NY","",19,"USCGeocoder",281.3212,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.8072901,-73.9506191,"Relaxed;Soundex"
"14905","1 E 57th St NYC","New York City","NY","",20,"USCGeocoder",218.6936,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.762973,-73.9735685,"Relaxed;Soundex"
"14906","38 Dominick St NYC","New York City","NY","",21,"USCGeocoder",562.7506,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","2",40.725,-74.0068,"Relaxed"
"14916","1289 Madison Ave NYC","New York City","NY","",22,"USCGeocoder",546.8658,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","2",40.7844,-73.956,"Relaxed"
"14924","1459 Lexington Ave NYC","New York City","NY","",23,"USCGeocoder",468.7393,1,"4.1","","","00","AddressPoint","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","2",40.7848,-73.9515,"Relaxed"
"14931","573 2nd Ave NYC","New York City","NY","",24,"USCGeocoder",250.1347,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7432636,-73.9772154,"Relaxed;Soundex"
"14938","N W 73rd St NYC","New York City","NY","",25,"USCGeocoder",31.3623,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1213369809.72834","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",40.6639307188879,-73.9382749875207,"Relaxed;Soundex"
"14949","S W 74th St NYC","New York City","NY","",26,"USCGeocoder",31.3058,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1213369809.72834","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",40.6639307188879,-73.9382749875207,"Relaxed;Soundex"
"14951","W 10th Ave NYC","New York City","NY","",27,"USCGeocoder",31.2534,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1213369809.72834","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",40.6639307188879,-73.9382749875207,"Relaxed;Soundex"
"14961","225 E 47th St NYC","New York City","NY","",28,"USCGeocoder",218.7687,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7535845,-73.9710117,"Relaxed;Soundex"
"14962","214 W 39th St NYC","New York City","NY","",29,"USCGeocoder",218.7298,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.7543352,-73.9890754,"Relaxed;Soundex"
"14969","750 St Nicholas Ave NYC","New York City","NY","",30,"USCGeocoder",187.4463,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","FeatureClassBased","ReturnAll","","AddressPoint","","","1",40.8255053,-73.9433666,"Relaxed"
