"ÃÂÂIndex","Address","City","State","Zipcode","AUTO_UNIQUE_ID_2019-12-02_dbmsmsba_nyc","Source","UpdatedGeocoding","TimeTaken","TransactionId","Version","ErrorMessage","Latitude","Longitude","MatchType","MatchedLocationType","FeatureMatchingResultType","InterpolationType","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","GeocodeQualityType","FeatureMatchingHierarchy","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","FeatureMatchingResultTypeTieBreakingNotes","TieHandlingStrategyType","RegionSize","RegionSizeUnits","naaccrQualCode","naaccrQualType"
"3","330 7th Ave NYC","New York","NY","",1,"USCGeocoder",1,203.1706,"","4.1","",40.7477095,-73.993239,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"17","204 E 43rd St NYC","New York","NY","",2,"USCGeocoder",1,953.1457,"","4.1","",40.6507792,-73.9372315,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"18","330 E 33 ST NYC","New York","NY","",3,"USCGeocoder",1,218.743,"","4.1","",40.7432755,-73.9756514,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"20","50 Murray St NYC","New York","NY","",4,"USCGeocoder",1,203.1264,"","4.1","",40.7139787988448,-74.0094756026449,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","RoofTop","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"22","730 Columbus Ave NYC","New York","NY","",5,"USCGeocoder",1,562.5235,"","4.1","",40.7926,-73.968,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"24","535 8th Ave NYC","New York","NY","",6,"USCGeocoder",1,203.1225,"","4.1","",40.7539484,-73.9924155,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"25","1237 2nd Ave NYC","New York","NY","",7,"USCGeocoder",1,218.7012,"","4.1","",40.7641582,-73.9619793,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"31","837 2nd Ave NYC","New York","NY","",8,"USCGeocoder",1,218.7613,"","4.1","",40.7516577,-73.9710916,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"37","W Cortlandt Aly NYC","New York","NY","",9,"USCGeocoder",1,31.2284,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"40","342 W 37th St NYC","New York","NY","",10,"USCGeocoder",1,203.1217,"","4.1","",40.7548226,-73.9940715,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"42","1307 Madison Ave NYC","New York","NY","",11,"USCGeocoder",1,531.234,"","4.1","",40.785,-73.9556,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"43","53 W 35th St NYC","New York","NY","",12,"USCGeocoder",1,203.1246,"","4.1","",40.7501287,-73.9862519,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"49","1503 3rd Ave NYC","New York","NY","",13,"USCGeocoder",1,218.7282,"","4.1","",40.7779014,-73.9544298,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"52","585 2nd Ave NYC","New York","NY","",14,"USCGeocoder",1,203.1498,"","4.1","",40.7437966,-73.9768255,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"63","242A W 36th St NYC","New York","NY","",15,"USCGeocoder",1,140.6227,"","4.1","",40.7527095898992,-73.990945579152,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","LinearInterpolation","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","AddressRangeInterpolation","FeatureClassBased","","","1","","ReturnAll","5785.92094300198","Meters","03","StreetSegmentInterpolation"
"64","N W 173rd St NYC","New York","NY","",16,"USCGeocoder",1,31.2892,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"71","308 W 150 ST NYC","New York","NY","",17,"USCGeocoder",1,296.9443,"","4.1","",40.8262225,-73.9403787,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"75","101 E 41st St NYC","New York","NY","",18,"USCGeocoder",1,109.4384,"","4.1","",40.751530286256,-73.9780939287355,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","LinearInterpolation","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","AddressRangeInterpolation","FeatureClassBased","","","1","","ReturnAll","3450.50598797901","Meters","03","StreetSegmentInterpolation"
"81","300 W 40th St NYC","New York","NY","",19,"USCGeocoder",1,218.7491,"","4.1","",40.7559989,-73.9911035,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"86","1350 6th Ave NYC","New York","NY","",20,"USCGeocoder",1,109.3954,"","4.1","",40.7626896900328,-73.9782731480371,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","LinearInterpolation","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","AddressRangeInterpolation","FeatureClassBased","","","1","","ReturnAll","1912.12848814111","Meters","03","StreetSegmentInterpolation"
"91","249 Church St NYC","New York","NY","",21,"USCGeocoder",1,546.8793,"","4.1","",40.7177,-74.0055,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"107","337 3rd Ave NYC","New York","NY","",22,"USCGeocoder",1,218.746,"","4.1","",40.7399481,-73.9821151,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"109","24 Broadway NYC","New York","NY","",23,"USCGeocoder",1,249.9559,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"113","2 W 89th St NYC","New York","NY","",24,"USCGeocoder",1,218.7457,"","4.1","",40.7872284,-73.9681623,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"114","129 W 35th St NYC","New York","NY","",25,"USCGeocoder",1,218.7149,"","4.1","",40.7510107,-73.988339,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"115","747 Greenwich St NYC","New York","NY","",26,"USCGeocoder",1,546.7289,"","4.1","",40.7355,-74.0067,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Ambiguous","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","2","","ReturnAll","0","Meters","00","AddressPoint"
"117","45 Broadway NYC","New York","NY","",27,"USCGeocoder",1,328.0365,"","4.1","",40.6639307188879,-73.9382749875207,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","City","50","CityCentroid","FeatureClassBased","","","1","","ReturnAll","1213369809.72834","Meters","11","CityCentroid"
"122","241 W 15th St NYC","New York","NY","",28,"USCGeocoder",1,281.1582,"","4.1","",40.7400564,-74.0008494,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"124","608 8th Ave NYC","New York","NY","",29,"USCGeocoder",1,187.4922,"","4.1","",40.755541,-73.9908063,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"130","479 W 22nd St NYC","New York","NY","",30,"USCGeocoder",1,203.1213,"","4.1","",40.7468977,-74.0040477,"Relaxed;Soundex","LOCATION_TYPE_STREET_ADDRESS","Success","ArealInterpolation","ArealInterpolationGeometricCentroid","Parcel","97.3372781065089","AddressPoint","FeatureClassBased","","","1","","ReturnAll","0","Meters","00","AddressPoint"
"146","27 W 23rd St NYC","New York","NY","",31,"USCGeocoder",1,171.9735,"","4.1","",40.74199322064,-73.9904055274076,"Relaxed","LOCATION_TYPE_STREET_ADDRESS","Success","LinearInterpolation","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","AddressRangeInterpolation","FeatureClassBased","","","1","","ReturnAll","6541.39787008939","Meters","03","StreetSegmentInterpolation"
